Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1981,2070,90,910,2.3,790,90,517,617
1985,3195,90,1320,2.3,1495,80,541,870
1991,12945,90,5370,2.4,5275,70,398,1953
1992,2025,80,800,2.5,825,70,449,1366
2011,13920,60,8325,1.6,8340,40,455,5598
2012,12905,70,6130,2.1,6190,60,641,3921
2013,8225,70,4080,2.0,3935,70,474,4668
2014,8625,80,3855,2.2,3935,60,466,2864
2015,5655,80,2700,2.1,2630,70,544,2075
2019,160,60,85,1.8,90,60,521,5677
2021,9060,70,4890,1.9,4545,50,371,3939
2022,9065,70,4000,2.3,3935,70,402,3464
2023,13060,80,5355,2.4,5325,70,575,3805
2024,9205,80,4015,2.2,4000,80,457,3163
2025,9780,70,4710,2.1,4695,50,341,2632
2026,5645,80,2440,2.3,2385,60,392,2315
2031,1840,70,850,2.2,795,60,516,2339
2032,8050,70,4255,1.9,4145,40,353,4184
2033,12480,60,6100,2.0,6050,30,347,3135
2034,10075,50,5155,1.9,5075,40,279,3505
2035,7960,40,3375,2.3,3300,40,322,3094
2036,7550,60,3760,2.0,3725,60,297,3007
2037,9035,40,4110,2.2,4100,20,264,3412
2041,7620,70,3795,2.0,4400,40,332,1801
2042,8445,80,4350,1.9,4755,60,462,2023
2051,4460,80,1760,2.5,1755,80,873,1674
2061,6895,80,3045,2.2,3080,60,908,1297
2063,615,90,285,2.1,295,60,464,455
2064,3555,90,1405,2.5,1365,70,480,423
2065,330,90,145,2.2,135,80,635,119
2071,7245,90,3210,2.3,3255,80,472,1642
2082,3365,80,1460,2.3,1495,70,673,1305
2101,7570,70,3740,2.0,3830,60,575,2394
2102,5510,80,2280,2.4,2370,80,768,2165
2103,3795,80,1500,2.5,1665,60,531,1445
2104,3700,80,1610,2.2,1755,50,460,743
2105,3885,80,1790,2.0,1955,70,486,1316
2106,3100,80,1250,2.5,1245,90,762,1744
2111,4845,70,1845,2.6,1935,90,1262,869
2114,2260,80,1020,2.2,1030,60,464,434
2116,1045,80,470,2.1,560,70,798,314
2121,5270,80,2225,2.2,2380,70,515,819
2131,10925,70,4755,2.3,4690,70,402,2161
2132,13635,50,6825,2.0,6540,50,336,1875
2133,7730,70,3410,2.2,3345,70,354,2322
2134,28145,60,11265,2.5,11070,60,398,1772
2135,18155,60,7410,2.4,7290,70,406,2094
2136,2080,80,835,2.5,815,90,506,516
2141,4785,80,2045,2.3,1800,80,480,633
2142,1505,80,525,2.4,570,60,509,507
2143,160,70,90,1.8,70,60,319,70
2144,995,80,415,2.4,410,90,379,1136
2151,15725,70,6250,2.5,6240,70,383,1727
2152,12415,70,4765,2.6,4710,70,402,1508
2153,3325,70,1465,2.3,1450,60,349,994
2154,345,80,150,2.3,140,80,413,54
2155,60,90,25,2.5,25,100,520,288
2156,380,80,160,2.4,160,70,389,419
2157,1200,80,485,2.5,490,70,370,109
2158,480,90,220,2.2,215,80,366,142
2159,455,80,220,2.1,250,60,545,143
2161,12665,90,5815,2.2,5950,60,368,1769
2162,7520,80,3170,2.4,3180,60,340,1440
2163,2830,80,1295,2.2,1300,70,349,1594
2165,3415,90,1375,2.5,1365,70,384,1187
2171,10060,80,4570,2.1,4685,60,378,1653
2172,5715,80,2510,2.3,2485,60,361,1710
2181,9710,80,4410,2.2,4390,60,348,1745
2182,12605,80,5645,2.2,5600,70,347,1436
2191,2295,90,975,2.3,975,70,383,307
2201,13570,80,5900,2.2,6140,60,397,1782
2202,7985,80,4130,1.9,4600,60,570,1612
2203,4610,80,2095,2.2,2100,70,382,1814
2204,930,80,415,2.2,300,70,715,258
